id,name,cat,price,was,desc,badge,days,imgUrl,soferId
,מזוזה פולימר עץ עם אפוקסי צבע כחול שמיים גודל 20...,מזוזות,165.18,,"מזוזה פולימר עץ עם אפוקסי צבע כחול שמיים גודל 20... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20008.jpg,
,מזוזה פולימר עץ עם אפוקסי צבע כחול שמיים גודל 25...,מזוזות,188.78,,"מזוזה פולימר עץ עם אפוקסי צבע כחול שמיים גודל 25... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20032.jpg,
,מזוזה פולימר עץ עם אפוקסי צבע שחור אפור גודל 20...,מזוזות,165.18,,"מזוזה פולימר עץ עם אפוקסי צבע שחור אפור גודל 20... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20034.jpg,
,"מזוזה פלסטיק 12 ס""מ לבן וכסף",מזוזות,3.28,,"מזוזה פלסטיק 12 ס""מ לבן וכסף הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20041.jpg,
,"מזוזה פלסטיק 15 ס""מ לבן וכסף",מזוזות,3.75,,"מזוזה פלסטיק 15 ס""מ לבן וכסף הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20042.jpg,
,מזוזה פולימר עץ עם אפוקסי צבע שחור אפור גודל 25...,מזוזות,188.78,,"מזוזה פולימר עץ עם אפוקסי צבע שחור אפור גודל 25... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20048.jpg,
,מזוזה פולימר עץ עם אפוקסי צבע לבן פנינה גודל 25...,מזוזות,188.78,,"מזוזה פולימר עץ עם אפוקסי צבע לבן פנינה גודל 25... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14,https://www.israel-judaica.com/big/20054.jpg,
,"מזוזה פלסטיק לבנה 20 ס""מ ""ש"" כסף עם פקק גומי וחורים...",מזוזות,21.22,,"מזוזה פלסטיק לבנה 20 ס""מ ""ש"" כסף עם פקק גומי וחורים... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/webp/20069.webp,
,"מזוזה פלסטיק לבנה 12 ס""מ עם מסגרת ו""ש"" זהב עם פקק גומי...",מזוזות,15.32,,"מזוזה פלסטיק לבנה 12 ס""מ עם מסגרת ו""ש"" זהב עם פקק גומי... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20076.jpg,
,"מזוזה פלסטיק לבנה 15 ס""מ עם מסגרת ו""ש"" זהב עם פקק גומי...",מזוזות,15.32,,"מזוזה פלסטיק לבנה 15 ס""מ עם מסגרת ו""ש"" זהב עם פקק גומי... הוא פריט שמכניס יופי, משמעות וחיבור אמיתי לבית יהודי.
עיצוב מוקפד, נוכחות מרשימה ותחושת יוקרה שמורגשת כבר מהשימוש הראשון.",,7-14 ימים,https://www.israel-judaica.com/big/20077.jpg,
