docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"09BTvmU0250JUh0rlVly","","מערכת אוכל Diana לבן וזהב – 18 חלקים New Bone China","937.16","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%90%d7%95%d7%9b%d7%9c-18%d7%97%d7%9c-diana-%d7%9c%d7%91%d7%9f-%d7%96%d7%94%d7%91/","A","no_sku","",""
"0B5FKGXOGDBubhWjWqqw","","זוג קערות פולירזין חום טייגר קוטר 37.5 גובה 10 ס”מ","651.56","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%96%d7%95%d7%92-%d7%a7%d7%a2%d7%a8%d7%95%d7%aa-%d7%a4%d7%95%d7%9c%d7%99%d7%a8%d7%96%d7%99%d7%9f-%d7%97%d7%95%d7%9d-%d7%98%d7%99%d7%99%d7%92%d7%a8-%d7%a7%d7%95%d7%98%d7%a8-37-5-%d7%92%d7%95%d7%91/","A","no_sku","",""
"0YOqFWfcyU3ISwvgCufi","","סט 2 פמוטים עץ שחור עם ברזל","432.64","עיצוב הבית","paldinox","https://paldinox.co.il/product/h38-31-%d7%a1%d7%98-2-%d7%a4%d7%9e%d7%95%d7%98%d7%99-%d7%a2%d7%a5-%d7%a9%d7%97%d7%95%d7%a8-%d7%91%d7%a8%d7%96%d7%9c-d10/","A","no_sku","",""
"0Zpnat72J1Lymr2Q8tpY","","מגש עגול על רגל זכוכית גבישית עם פס זהב","119.57","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%a2%d7%92%d7%95%d7%9c-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-kim-%d7%a7%d7%95%d7%98%d7%a8-32-%d7%a1%d7%9e-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%92%d7%91%d7%99%d7%a9%d7%99-%d7%a9/","A","no_sku","",""
"0qXNfNez5mYjGAjnYGBa","","סט 6 כוסות קרמיקה Green Lake – 300 מ""ל","76.1","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%98-6-%d7%9b%d7%95%d7%a1%d7%95%d7%aa-%d7%a7%d7%a8%d7%9e%d7%99%d7%a7%d7%94-300-%d7%9e%d7%9c-green-lake/","A","no_sku","",""
"0tFHRODei9LYvKDl15v7","","קערת Kim אובלית זכוכית גבישית עם פס זהב","150.01","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a7%d7%a2%d7%a8%d7%94-%d7%90%d7%95%d7%91%d7%9c%d7%99%d7%aa-kim-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-40-20-%d7%a1%d7%9e-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%92%d7%91%d7%99%d7%a9%d7%99-%d7%a9%d7%a7/","A","no_sku","",""
"17adSTFG8aHZlNahHOrR","","פח מתכת אפור 35 ליטר","434.82","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%a4%d7%97-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%90%d7%a4%d7%95%d7%a8-35-%d7%9c%d7%99%d7%98%d7%a8-%d7%a8%d7%95%d7%97%d7%91-45-5-%d7%92%d7%95%d7%91%d7%94-68-5-%d7%a1%d7%9e-4-%d7%a8%d7%92%d7%9c%d7%99%d7%99/","A","no_sku","",""
"1HRI5CWPPzfVB1qCJ4tz","","זוג כוסות דאבל גלאס עם ידית 400 מ""ל","86.96","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/400%d7%9e%d7%9c-%d7%96%d7%95%d7%92-%d7%9b%d7%95%d7%a1%d7%95%d7%aa-%d7%93%d7%90%d7%91%d7%9c-%d7%92%d7%9c%d7%90%d7%a1-%d7%99%d7%93%d7%99%d7%aa-4/","A","no_sku","",""
"1STlfE8Ce5qveFU0Pci9","","קרש חיתוך עץ טבעי 55×22 ס""מ","163.06","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a7%d7%a8%d7%a9-%d7%97%d7%99%d7%aa%d7%95%d7%9a-%d7%a2%d7%a5-%d7%98%d7%91%d7%a2%d7%99-55-22-%d7%a1%d7%9e/","A","no_sku","",""
"1mWPfpVwy2ggRylexxAL","","דיקנטר קריסטל DIAMOND – 0.7 ליטר","391.33","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%93%d7%99%d7%a7%d7%a0%d7%98%d7%a8-diamond-0-7l/","A","no_sku","",""
