docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"04p0N9n9UjvtG2WFPwOz","UK15683","כיפה ד.מ.צ. שחור איכותי קשיח 17 ס""מ","52.3","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0CbZL9ytXyMCFrfENj8Z","UK18260","כיפה בד ארטמן כחול כהה 17 ס""מ","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0EHNBP6y5GiOMixBcXvv","UK48513","מעמד לנר זיכרון ממתכת וזכוכית זהב 18X22 ס""מ","32.68","מוצרי בית כנסת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK48513&lang=he","C","not_found_after_normalization","",""
"0HcCdAlcsf8vo6FiLBtL","UK15679","כיפה ד.מ.צ. שחור איכותי קשיח 13 ס""מ","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0Qpls9MIy7nSGzRNtSn6","UK16036","כיפה סטן לבנה 19 ס""מ הדפסה כסף ""מזל טוב"" חתן כל","11.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0iAe9OtaUjaP4wrzJewe","UK15622","כיפה קטיפה פלוש שחורה 4 חלקים גודל 5 21 ס""מ עם סרט","20.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0kSoonbvo6rZ5aN0mfhl","UK19025","כיפה קטיפה ארטמן כחולה 4 חלקים עם סרט 17 ס""מ","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0kn6UFnrzG1ZM8PVcCFg","UK15640","(כמו 16419) כיפה קטיפה פלוש שחורה 6 חלקים גודל 3 19 ס""מ ללא סרט","11.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"0rn1o7TUbxEBvgHzAa6O","UK45565","עץ ברכות ברכת העסק עברית 20 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK45565&lang=he","C","not_found_after_normalization","",""
"0vszBGXtexPpAiAIKoOq","UK40820","כלי לנר הבדלה מקריסטל עם פלקטה ""ירושלים"" 13 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40820&lang=he","C","not_found_after_normalization","",""
"0y5vdg0aVy1R3uC4XPR4","UK51631","","108.98","","israel-judaica","","C","not_found_after_normalization","",""
"12BZbUnzgZY3hLbgrJTV","UK10183","כיפה ארטמן קטיפה ירוק בהיר רקמה שמע ישראל גודל 3","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"18594RsskZhTLkDp4aOO","UK19036","כיפה עור ארטמן חום בהיר 15 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1AqAtBG6Srj5BbnBDYr5","UK19108","כיפה קטיפה ""ארט-מן"" כחולה 6 חלקים עם סרט גודל 4","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1Nj2PMkFu7Xud4jV4JD7","UK11562","כיפה DMC סריגה ישראלית חלק לבן 12-13 ס""מ אין החזרת סחורה","52.3","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1Sjhrr5IPeyTmP9fudlr","UK19012","כיפה פריק 21 ס""מ גוונים בורדו שחור לבן","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1cCTU34dN6jTxQRerOQH","UK15632","כיפה קטיפה פלוש שחורה 6 חלקים גודל 2 18 ס""מ","20.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1lfLTBjmTffWaOMr6Cg2","UK10523","כיפה קטיפה ""ארט-מן"" עם אותיות בולטות זהב ""בבא סאלי"" גודל 4 - אופוויט","43.58","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"1v8QJK4ZuRU0cLS3d4A9","UK48639","ספרון תהילים ""רבי"" 4 ס""מ - באריזת PV בסלסלת קש","7.47","ספרי קודש וסידורים","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK48639&lang=he","C","not_found_after_normalization","",""
"1vjvWRc0tquBUeTy7HZ4","UK18975","כיפה דמוי עור ארטמן חום 17 ס""מ","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"26D4rLl9FvVdoSRRmFZY","UK58992","מארז דבק דו צדדי לכיפה איכות מעולה","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"2CY1u67oAHQj7S2OasPz","UK18933","כיפה קטיפה ארטמן שחורה 4 חלקים עם סרט 17 ס""מ","26.14","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"2Mv1OOHiG7v0btNJ8mjk","UK10157","כיפה פריק 23 ס""מ גוונים קרם ירוק זית וחום","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"2W1ZGd5OuGnmo2IOL22G","UK10517","כיפה קטיפה ""ארט-מן"" עם אותיות בולטות זהב ""יברכך"" גודל 4 - פנינה","43.58","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"2ZCmrOfd2GN4cHfGa48d","UK11202","כיפה סרוגה 17 ס""מ לבן מחורר - 12 יח","17.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"2gC5Iaasr6MUeSIPtUjI","UK40864","סדר הבדלה עם ציפורן נוסח ע.מ 18X12 ס""מ","23.97","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40864&lang=he","C","not_found_after_normalization","",""
