doc_id,our_name,paldinox_name,match_confidence,match_score,paldinox_sku,sku_method,source_url,cat,price
"09BTvmU0250JUh0rlVly","מערכת אוכל Diana לבן וזהב – 18 חלקים New Bone China","מערכת אוכל 18 חלקים Diana לבן/זהב New Bone China","fuzzy","0.90","","HTTP_404","https://paldinox.co.il/product/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%90%d7%95%d7%9b%d7%9c-18%d7%97%d7%9c-diana-%d7%9c%d7%91%d7%9f-%d7%96%d7%94%d7%91/","כלי שולחן והגשה","937.16"
"0B5FKGXOGDBubhWjWqqw","זוג קערות פולירזין חום טייגר קוטר 37.5 גובה 10 ס”מ","זוג קערות פולירזין חום טייגר קוטר 37.5 גובה 10 ס”מ","exact","1.00","","HTTP_404","https://paldinox.co.il/product/%d7%96%d7%95%d7%92-%d7%a7%d7%a2%d7%a8%d7%95%d7%aa-%d7%a4%d7%95%d7%9c%d7%99%d7%a8%d7%96%d7%99%d7%9f-%d7%97%d7%95%d7%9d-%d7%98%d7%99%d7%99%d7%92%d7%a8-%d7%a7%d7%95%d7%98%d7%a8-37-5-%d7%92%d7%95%d7%91/","כלי שולחן והגשה","651.56"
"0YOqFWfcyU3ISwvgCufi","סט 2 פמוטים עץ שחור עם ברזל","","url_only","","X4831B","json-ld","https://paldinox.co.il/product/h38-31-%d7%a1%d7%98-2-%d7%a4%d7%9e%d7%95%d7%98%d7%99-%d7%a2%d7%a5-%d7%a9%d7%97%d7%95%d7%a8-%d7%91%d7%a8%d7%96%d7%9c-d10/","עיצוב הבית","432.64"
"0Zpnat72J1Lymr2Q8tpY","מגש עגול על רגל זכוכית גבישית עם פס זהב","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%a2%d7%92%d7%95%d7%9c-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-kim-%d7%a7%d7%95%d7%98%d7%a8-32-%d7%a1%d7%9e-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%92%d7%91%d7%99%d7%a9%d7%99-%d7%a9/","כלי שולחן והגשה","119.57"
"0qXNfNez5mYjGAjnYGBa","סט 6 כוסות קרמיקה Green Lake – 300 מ""ל","סט 6 כוסות קרמיקה 300 מ”ל Green Lake","fuzzy","0.82","X5960","json-ld","https://paldinox.co.il/product/%d7%a1%d7%98-6-%d7%9b%d7%95%d7%a1%d7%95%d7%aa-%d7%a7%d7%a8%d7%9e%d7%99%d7%a7%d7%94-300-%d7%9e%d7%9c-green-lake/","כלי שולחן והגשה","76.1"
"0tFHRODei9LYvKDl15v7","קערת Kim אובלית זכוכית גבישית עם פס זהב","","url_only","","X6002","json-ld","https://paldinox.co.il/product/%d7%a7%d7%a2%d7%a8%d7%94-%d7%90%d7%95%d7%91%d7%9c%d7%99%d7%aa-kim-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-40-20-%d7%a1%d7%9e-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%92%d7%91%d7%99%d7%a9%d7%99-%d7%a9%d7%a7/","כלי שולחן והגשה","150.01"
"17adSTFG8aHZlNahHOrR","פח מתכת אפור 35 ליטר","","url_only","","X5911C","json-ld","https://paldinox.co.il/product/%d7%a4%d7%97-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%90%d7%a4%d7%95%d7%a8-35-%d7%9c%d7%99%d7%98%d7%a8-%d7%a8%d7%95%d7%97%d7%91-45-5-%d7%92%d7%95%d7%91%d7%94-68-5-%d7%a1%d7%9e-4-%d7%a8%d7%92%d7%9c%d7%99%d7%99/","עיצוב הבית","434.82"
"1HRI5CWPPzfVB1qCJ4tz","זוג כוסות דאבל גלאס עם ידית 400 מ""ל","","url_only","","","HTTP_404","https://paldinox.co.il/product/400%d7%9e%d7%9c-%d7%96%d7%95%d7%92-%d7%9b%d7%95%d7%a1%d7%95%d7%aa-%d7%93%d7%90%d7%91%d7%9c-%d7%92%d7%9c%d7%90%d7%a1-%d7%99%d7%93%d7%99%d7%aa-4/","כלי שולחן והגשה","86.96"
"1STlfE8Ce5qveFU0Pci9","קרש חיתוך עץ טבעי 55×22 ס""מ","קרש חיתוך עץ טבעי 55/ 22 ס”מ","fuzzy","0.80","X5179C","json-ld","https://paldinox.co.il/product/%d7%a7%d7%a8%d7%a9-%d7%97%d7%99%d7%aa%d7%95%d7%9a-%d7%a2%d7%a5-%d7%98%d7%91%d7%a2%d7%99-55-22-%d7%a1%d7%9e/","כלי שולחן והגשה","163.06"
"1mWPfpVwy2ggRylexxAL","דיקנטר קריסטל DIAMOND – 0.7 ליטר","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%93%d7%99%d7%a7%d7%a0%d7%98%d7%a8-diamond-0-7l/","כלי שולחן והגשה","391.33"
