docId,sku,name,price,cat,supplier,sourceUrl
"00uei4anPC0p4oHF7puN","UK42917","נטלה אקריליק מהודרת שקופה עם ידיות זהב 13 ס""מ","87.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42917&lang=he"
"01NBQUWzJ8Z5FUXvCpaL","UK42386","מגש זכוכית מהודר לחלה 45X30 ס""מ","108.98","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42386&lang=he"
"02iuPxuAp5U4oHDlimvU","UK66697","כיסוי חלה מהודר דמוי עור לבן עם הבלטות זהב 45x5","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66697&lang=he"
"02wM8yqoqpB7T1JRHhlW","UK49957","ברכת המזון מאקריליק נוסח עדות המזרח 16X13 ס""מ","23.97","ספרי קודש וסידורים","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49957&lang=he"
"03K6AobWMX7d1mww3i3X","UK42914","נטלה אקריליק מהודרת שקופה עם ידיות זהב 11 ס""מ","76.28","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42914&lang=he"
"03VQSyqc003OsaIhW8kK","UK47909","מגש זכוכית מהודר לחלה עם מראה ונצנצים 45X30 ס""מ","141.68","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK47909&lang=he"
"047B0hngFWn63FgwgWKJ","UK81275","תמונה לתלייה פולימר ""ברכת הבית"" 20X17 ס""מ","130.78","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81275&lang=he"
"05UMk2IFkYGbUDlS49PC","UK40065","נטלה מהודרת מפולימר 14 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40065&lang=he"
"06O5CWaGix6DkH2qMaSQ","UK61150","כיסוי חלה לבן מסטן עם ריקמה אובלית ""שבת ויום טו","26.14","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK61150&lang=he"
"06cuj1aV3lgrgrofUsPn","UK49232","זוג פמוטי קריסטל עם פלקטה ""ירושלים"" 16.5 ס""מ","196.18","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49232&lang=he"
"0AbHB6GEFcz86iHmGNxi","UK60344","סט פסח 4 חלקים פיו לבן עם רקמה ואבנים","778.48","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK60344&lang=he"
"0C9wpvq7QwnrXMFiYcs9","UK46768","גביע קידוש פס עיטורים 12 ס""מ תכולה 100 מ""ל","108.98","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK46768&lang=he"
"0CsaFwxvDawjCbM0j385","UK42916","נטלה אקריליק מהודרת שקופה עם ידיות זהב 13 ס""מ","87.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42916&lang=he"
"0EIl0GmjVKYQZkpiA3oo","UK35880","מחזיק מפתחות עט 6.5 ס""מ","23.97","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK35880&lang=he"
"0FduGBo8Wx6ChaF2PF95","UK81199","גביע קידוש קריסטל מהודר מט ""האש שלי"" 16 ס""מ","98.08","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81199&lang=he"
"0GcTivryAZEIdnojpS7N","UK42414","חנוכייה אלומיניום לשמן מהודרת 30x8 ס""מ","108.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42414&lang=he"
"0HQwhlsDh7n1Gi9SslRp","UK81047","פמוטי קריסטל מהודר הדלקת נרות 21 ס""מ","152.58","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81047&lang=he"
"0J65t9lZf1p0TxIpKmEy","UK47107","גביע קריסטל מהודר ""האש שלי"" עם אבנים כסף 16 ס""מ תכולה 100 מ""ל","98.08","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK47107&lang=he"
"0JAFp58fccBwfIjsL1LN","UK82374","סטנד ברכונים ואכלת ושבעת ברכת המזון מעוגל אשכנזי כסף","311.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82374&lang=he"
"0K9lTrjildtOfFcSr55f","UK82721","נטלה ""במבוק עבה"" 14 ס""מ - קוד מעורב","26.14","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82721&lang=he"
"0KvHKwzGrBvkTdXTiQUN","UK35786","מחזיק מפתחות זהב עם לולאה חמסה ושיבוץ אבנים","20.97","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK35786&lang=he"
"0MHSa6j1JWNZ57IKPThB","UK66987","מפת שולחן מהודרת ""שיש זהב"" 140x220 ס""מ","65.38","כלי שולחן והגשה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66987&lang=he"
"0MwwFAvEK5XgDUqtL9wH","UK55663","מגש חלה מעץ 3725 ס""מ","37.04","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK55663&lang=he"
"0Nw34s3n2FzbC4epRYGM","UK35911","מחזיק מפתחות חמסה ""מזל"" משובץ 5.5 ס""מ - ניקל","29.97","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK35911&lang=he"
"0PTu7SSeYU2bMljTFXma","UK41139","נטלה מהודרת מפולימר 14 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK41139&lang=he"
"0QHlal6FJub8Cl3DTGJB","UK60446","כיסוי חלה מהודר לבר מצווה דמוי עור 45X37 ס""מ","152.58","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK60446&lang=he"
"0QudmQCHRoWSmyOVy5Gv","UK67744","גופיה ציצית מהודרת מידה L עם ציוץ בהשגחת הרב לוין","54.48","טליתות וציציות","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK67744&lang=he"
"0Txhm5D8CVKHkYvEho5w","UK47819","זוג פמוטי קריסטל מהודרים עם אבנים לבנות 16.5 ס""מ","130.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK47819&lang=he"
"0VCgJOs2sPKv7vxYnCfh","UK66860","כיסוי פלטה מהודר דמוי עור בטון 70X80 ס""מ","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66860&lang=he"
"0VmC2RnpprSWeyJDEU0J","UK55462","תחתית מודפסת לסיר מזכוכית בלתי שבירה ""עיטורים""","28.32","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK55462&lang=he"
"0YRYfWv6UNJtvkKBcEBz","UK18401","כיפה בד ""ארט-מן"" 16 ס""מ אפור","29.97","כיפות","israel-judaica",""
"0Zphe9whafNfkc5b76pa","UK49797","מנורה אלומיניום 7 קנים גימור מוזהב 25 ס""מ","196.18","עיצוב הבית","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49797&lang=he"
"0aGKe8zM4tXfKN4zKQSR","UK80446","חנוכייה קריסטל מהודרת 20 ס""מ","311.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80446&lang=he"
"0cJcGUB6OEjzPsvt74GI","UK41620","זוג פמוטי קריסטל מהודרים 18 ס""מ","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK41620&lang=he"
