supplier,holiday,sku,name,price,supplierPrice,variants,images,url
mysiddurname,חנוכה,MSN-823-232,"ספר הקידוש בעיצוב אישי עם כריכה רכה בצבע לבן",34.9,34.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%a4%d7%a8-%d7%94%d7%a7%d7%99%d7%93%d7%95%d7%a9-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a8%d7%9b%d7%94-%d7%91%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f-%d7%91%d7%a2%d7%99%d7%a6%d7%95%d7%91-%d7%90/
mysiddurname,חנוכה,MSN-2f458ef30b46,"סדר הדלקת נרות חנוכה כריכה רכה – לבן",10.9,10.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a8%d7%9b%d7%94-%d7%9c%d7%91%d7%9f/
mysiddurname,חנוכה,MSN-970ff30ea15c,"סדר הדלקת נרות חנוכה כריכה רכה – אפור כהה",10.9,10.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a8%d7%9b%d7%94-%d7%90%d7%a4%d7%95%d7%a8-%d7%9b%d7%94/
mysiddurname,חנוכה,MSN-529bcf489da3,"סדר הדלקת נרות חנוכה כריכה קשה – שמנת",24.9,24.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94-%d7%a9%d7%9e%d7%a0%d7%aa/
mysiddurname,חנוכה,MSN-3725ca632443,"סדר הדלקת נרות חנוכה כריכה קשה – אפור כהה",24.9,24.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94-%d7%90%d7%a4%d7%95%d7%a8-%d7%9b%d7%94/
mysiddurname,חנוכה,MSN-ccc5a81c8605,"סדר הדלקת נרות חנוכה כריכה רכה – שמנת",10.9,10.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a8%d7%9b%d7%94-%d7%a9%d7%9e%d7%a0%d7%aa/
mysiddurname,חנוכה,MSN-e2c86eb44065,"סדר הדלקת נרות חנוכה כריכה קשה – לבן",24.9,24.9,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8%d7%95%d7%aa-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94-%d7%9c%d7%91%d7%9f/
mysiddurname,חנוכה,MSN-154,"סדר הדלקת נר חנוכה אקרילי כסף",79,79,0,1,https://mysiddurname.co.il/product/%d7%a1%d7%93%d7%a8-%d7%94%d7%93%d7%9c%d7%a7%d7%aa-%d7%a0%d7%a8-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%90%d7%a7%d7%a8%d7%99%d7%9c%d7%99-%d7%9b%d7%a1%d7%a3/
mysiddurname,חנוכה,MSN-5da48b85f5de,"ברכון חנוכה דגם תלת מימד",7.9,7.9,0,2,https://mysiddurname.co.il/product/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%93%d7%92%d7%9d-%d7%aa%d7%9c%d7%aa-%d7%9e%d7%99%d7%9e%d7%93/
mysiddurname,חנוכה,MSN-9207,"ספרון חנוכה דמוי עור כריכה קשה גדול",41.9,41.9,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%a4%d7%a8%d7%95%d7%9f-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%93%d7%9e%d7%95%d7%99-%d7%a2%d7%95%d7%a8-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94-%d7%92%d7%93%d7%95%d7%9c/
