קוד UK,שם,תיאור,מחיר ספק,מחיר אצלנו,מחיר מחוק,מגיע בקרוב,תאריך צפי,כמות באריזה,קטגוריה,תת-קטגוריה,תמונה
UK24931,"מזוזה אלומיניום 10 ס""מ לבן ""ש"" מתכת",,10.99,22,27,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24931.webp
UK24954,"מזוזה אלומיניום 7 ס""מ לבנה ""ש"" מתכת פרופיל מיוח",,10.99,22,27,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24954.webp
UK24930,"מזוזה אלומיניום 15 ס""מ שחור מט ""ש"" מודפסת",,13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24930.webp
UK24953,"מזוזה אלומיניום 12 ס""מ צבועה בתלת מימד - פסים",,18.99,38,47,כן,22/07/2026,5,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24953.webp
UK21665,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ לבן ""ש"" מת","בית מזוזה מהודר עשוי אלומיניום בצבע לבן בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21665.jpg
UK21671,"מזוזה אלומיניום ""סגירה גומי"" 12 ס""מ רוז גולד ""","בית מזוזה מהודר עשוי אלומיניום בצבע זהב בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21671.jpg
UK21672,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ רוז גולד """,,13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21672.jpg
UK21673,"מזוזה אלומיניום ""סגירה גומי"" 12 ס""מ אפור כהה ""ש ל","בית מזוזה מהודר עשוי אלומיניום בצבע אפור בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/21673.webp
UK21674,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ אפור כהה ""ש ל","בית מזוזה מהודר עשוי אלומיניום בצבע אפור בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21674.jpg
UK21675,"מזוזה אלומיניום ""סגירה גומי"" 12 ס""מ כסף ""ש להבה""",,13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21675.jpg
UK21676,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ כסף ""ש להבה""","בית מזוזה מהודר עשוי אלומיניום בצבע כסף בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21676.jpg
UK21684,"מזוזה אלומיניום ""סגירה גומי"" 12 ס""מ לבן ""ש להבה""","בית מזוזה מהודר עשוי אלומיניום בצבע לבן בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21684.jpg
UK21685,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ לבן ""ש להבה""","בית מזוזה מהודר עשוי אלומיניום בצבע לבן בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21685.jpg
UK21689,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ זהב ""ש להבה""",,13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/big/21689.jpg
UK24613,"מזוזה אלומיניום 15 ס""מ זהב מט ""ש"" חרוטה","בית מזוזה מהודר בצבע זהב בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24613.webp
UK24614,"מזוזה אלומיניום 12 ס""מ כסף מט ""ש"" חרוטה","בית מזוזה מהודר בצבע כסף בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24614.webp
UK24637,"מזוזה אלומיניום 12 ס""מ זהב מט ""ש"" חרוטה","בית מזוזה מהודר בצבע זהב בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24637.webp
UK24638,"מזוזה אלומיניום 15 ס""מ כסף מט ""ש"" חרוטה","בית מזוזה מהודר בצבע כסף בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24638.webp
UK24639,"מזוזה אלומיניום 15 ס""מ שחור מט ""ש"" חרוטה","בית מזוזה מהודר בצבע שחור בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24639.webp
UK24743,"מזוזה אלומיניום 12 ס""מ שחור מט ""ש"" חרוטה","בית מזוזה מהודר בצבע שחור בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,21/08/2026,2,בתי מזוזה,מזוזות אלומיניום,https://www.israel-judaica.com/webp/24743.webp
UK23892,סט שלט לכניסה + מזוזה מפולימר בטון מזוזה 15 סמ,"בית מזוזה מהודר עשוי פולירזין בצבע טבעי בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",109.99,220,275,כן,09/08/2026,2,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/23892.webp
UK24494,"מזוזה ""פולימר בטון"" ""רימונים"" 12 ס""מ",בית מזוזה מהודר עשוי פולימר. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24494.webp
UK24496,"מזוזה ""פולימר בטון"" ""7 המינים"" 12 ס""מ",בית מזוזה מהודר עשוי פולימר. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24496.webp
UK24498,"מזוזה ""פולימר בטון"" ""רימונים"" 15 ס""מ",בית מזוזה מהודר עשוי פולימר. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24498.webp
UK24586,"מזוזה ""פולימר בטון"" ""7 המינים"" 15 ס""מ",בית מזוזה מהודר עשוי פולימר. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24586.webp
UK24446,"מזוזה ""פולימר בטון"" ברכת הבית 15 ס""מ",,29.99,60,75,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/24446.jpg
UK23943,"מזוזה ""פולימר בטון"" ""ש"" 15 ס""מ",,29.99,60,75,כן,09/08/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/23943.jpg
UK26438,"מזוזה פולימר בטון כותל 25 ס""מ - שיש לבן",,49.99,100,125,כן,18/07/2026,2,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/26438.jpg
UK22484,"מזוזה ""פולימר בטון"" ברכת הבית 12 ס""מ - לבן","בית מזוזה מהודר עשוי פולירזין בצבע לבן בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",44.99,90,112,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/22484.webp
UK22643,"מזוזה ""פולימר בטון"" ברכת הבית 12 ס""מ - לבן",,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/22643.jpg
UK22922,"מזוזה ""סמנט בטון"" גוון לבן - ש זהב 12 ס""מ","בית מזוזה מהודר בצבע לבן בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/22922.webp
UK22925,"מזוזה ""סמנט בטון"" גוון לבן - ש זהב 15 ס""מ","בית מזוזה מהודר בצבע לבן בגודל 18 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/22925.webp
UK24766,"מזוזה ""פולימר בטון"" גוון חום - ש זהב 12 ס""מ","בית מזוזה מהודר בצבע חום, שחור. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24766.webp
UK24767,"מזוזה ""פולימר בטון"" גוון חום - ש זהב 15 ס""מ","בית מזוזה מהודר בצבע חום בגודל 18 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24767.webp
UK24228,"מזוזה פולימר בטון ש זהב 12 ס""מ",,39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24228.webp
UK21943,סט שלט לכניסה + מזוזה מפולימר בטון בהיר 15 סמ,"בית מזוזה מהודר עשוי פולירזין בצבע אפור בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",109.99,220,275,כן,09/08/2026,2,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/21943.webp
UK22365,"מזוזה ""פולימר בטון"" ""ש"" 20 ס""מ","בית מזוזה מהודר בצבע לבן בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,18/07/2026,2,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/22365.webp
UK24828,"מזוזה ""פולימר בטון"" ""ש"" 12 ס""מ","בית מזוזה מהודר עשוי פולימר בצבע אפור בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/24828.jpg
UK24829,"מזוזה ""פולימר בטון"" ""ש"" 15 ס""מ","בית מזוזה מהודר עשוי פולימר בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/big/24829.jpg
UK24887,"מזוזה ""פולימר בטון"" ""ש"" 12 ס""מ","בית מזוזה מהודר עשוי מתכת בצבע זהב בגודל 35 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",39.99,80,100,כן,18/07/2026,5,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24887.webp
UK24890,"מזוזה ""פולימר בטון"" ""ש"" 30 ס""מ","בית מזוזה מהודר בצבע לבן בגודל 30 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,18/07/2026,2,בתי מזוזה,מזוזות פולירזין,https://www.israel-judaica.com/webp/24890.webp
UK50453,"מזוזה לרכב ניקל עם אקריליק 6 ס""מ",,13.99,28,35,כן,22/07/2026,5,בתי מזוזה,מזוזות לרכב,https://www.israel-judaica.com/big/50453.jpg
UK21963,"מזוזה אלומיניום ""סגירה גומי"" 12 ס""מ שחור מט ""ש לה","בית מזוזה מהודר עשוי אלומיניום בצבע שחור בגודל 12 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/big/21963.jpg
UK21964,"מזוזה אלומיניום ""סגירה גומי"" 15 ס""מ שחור מט ""ש לה","בית מזוזה מהודר עשוי אלומיניום בצבע שחור בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",13.99,28,35,כן,22/07/2026,10,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/big/21964.jpg
UK24876,מזוזה פולימר עץ עם אפוקסי צבע טורקיז גודל 20,"בית מזוזה מהודר עשוי עץ בצבע טורקיז בגודל 25 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24876.webp
UK24877,מזוזה פולימר עץ עם אפוקסי צבע טורקיז גודל 15,"בית מזוזה מהודר עשוי עץ בצבע טורקיז בגודל 20 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,09/08/2026,5,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24877.webp
UK24878,מזוזה פולימר עץ עם אפוקסי צבע כחול גודל 25,"בית מזוזה מהודר עשוי עץ בצבע טורקיז בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",79.99,160,200,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24878.webp
UK24879,מזוזה פולימר עץ עם אפוקסי צבע כחול גודל 20,"בית מזוזה מהודר עשוי עץ בצבע זהב בגודל 25 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24879.webp
UK24880,מזוזה פולימר עץ עם אפוקסי צבע כחול גודל 15,"בית מזוזה מהודר עשוי עץ בצבע זהב בגודל 20 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,09/08/2026,5,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24880.webp
UK24883,מזוזה פולימר עץ עם אפוקסי צבע תכלת גודל 15,"בית מזוזה מהודר עשוי במבו, במבו בצבע טורקיז בגודל 9 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,09/08/2026,5,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24883.webp
UK24873,מזוזה פולימר עץ עם אפוקסי צבע שחור גודל 20,"בית מזוזה מהודר עשוי עץ בצבע כחול בגודל 25 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24873.webp
UK24874,מזוזה פולימר עץ עם אפוקסי צבע שחור גודל 15,"בית מזוזה מהודר עשוי עץ בצבע כחול בגודל 20 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,09/08/2026,5,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24874.webp
UK24885,מזוזה פולימר עץ עם אפוקסי צבע זהב גודל 20,"בית מזוזה מהודר עשוי במבו, במבו בצבע זהב בגודל 9 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24885.webp
UK24886,מזוזה פולימר עץ עם אפוקסי צבע זהב גודל 15,"בית מזוזה מהודר עשוי במבו, במבו בצבע זהב בגודל 9 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",59.99,120,150,כן,09/08/2026,5,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24886.webp
UK24872,מזוזה פולימר עץ עם אפוקסי צבע שחור גודל 25,"בית מזוזה מהודר עשוי עץ בצבע לבן בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",79.99,160,200,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24872.webp
UK24875,מזוזה פולימר עץ עם אפוקסי צבע טורקיז גודל 25,"בית מזוזה מהודר עשוי עץ בצבע כחול בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",79.99,160,200,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24875.webp
UK24881,מזוזה פולימר עץ עם אפוקסי צבע תכלת גודל 25,"בית מזוזה מהודר עשוי עץ בצבע זהב בגודל 15 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",79.99,160,200,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24881.webp
UK24882,מזוזה פולימר עץ עם אפוקסי צבע תכלת גודל 20,"בית מזוזה מהודר עשוי במבו, במבו בצבע טורקיז בגודל 9 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",69.99,140,175,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24882.webp
UK24884,מזוזה פולימר עץ עם אפוקסי צבע זהב גודל 25,"בית מזוזה מהודר עשוי במבו, במבו בצבע זהב בגודל 9 ס""מ. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.",79.99,160,200,כן,09/08/2026,2,בתי מזוזה,מזוזות עץ,https://www.israel-judaica.com/webp/24884.webp
UK24870,"מזוזה אקריליק שקוף ולבן 15 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24870.webp
UK24871,"מזוזה אקריליק שקוף ושחור 12 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24871.webp
UK24940,"מזוזה אקריליק שקוף ולבן 12 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24940.webp
UK24941,"מזוזה אקריליק שקוף ולבן 20 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,59.99,120,150,כן,09/08/2026,2,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24941.webp
UK24942,"מזוזה אקריליק שקוף ונצנץ כסף 12 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24942.webp
UK24943,"מזוזה אקריליק שקוף ונצנץ כסף 15 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,44.99,90,112,כן,09/08/2026,5,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24943.webp
UK24944,"מזוזה אקריליק שקוף ונצנץ כסף 20 ס""מ",בית מזוזה מהודר עשוי אקריליק. מבית ארט יודאיקה — עיצוב איכותי ועמיד לבית היהודי.,59.99,120,150,כן,09/08/2026,2,בתי מזוזה,מזוזות פלסטיק,https://www.israel-judaica.com/webp/24944.webp
