id,source,category,subCategory,sku,supplierCode,status,soferId,name
"06rchexrGN2zDnbzWteQ","","יודאיקה","יודאיקה כללי","","","active","","קליפס טלית זהב עם שרשרת"
"0Aa3SYyKvvWuNtmzVrWM","","מזוזות","מזוזות עץ","","","active","","מזוזה עץ לבנה עם 2 שרשראות – 12 ס""מ"
"0GFgebRBHP8p47HbAv2r","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק לבנה עם אות ש' כסף ופקק גומי"
"0Ly4Kg3e9fNKdmyLHdii","","מזוזות","מזוזות פולימר","","","active","","מזוזה פולימר עם אות ש' – 7 ברכות, גוון חול"
"0SBOhIX5QJtsZmhW7inY","","מזוזות","מזוזות זכוכית","","","active","","מזוזה זכוכית בעיצוב בועות עם פקק סיליקון"
"0bP7x2gB9rywAqBKre47","","מזוזות","מזוזות פולימר","","","active","","מזוזה פולימר לבן ""וכתבתם על..."""
"0pPEU91QoQWbvbvmafS3","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום כסף עם אות ש' – 12 ס""מ"
"0u7JBb7UZ57zZkfobWW0","","מזוזות","מזוזות אפוקסי","","","active","","בית מזוזה מאפוקסי"
"12B5RBtsZAisdzkl850B","","יודאיקה","יודאיקה כללי","","","active","","קליפס לטלית ניקל עם שרשרת"
"1CmH7L0dlbDyDdZbGPeS","","יודאיקה","יודאיקה כללי","","","active","","קליפס טלית ניקל לוחות הברית עם שרשרת"
"1IZgwr9V1JzUFg9fGxyG","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום זהב עם אות ש'"
"1d9ovz9j1tqLDm4WWRe4","","מזוזות","מזוזות פולימר","","","active","","מזוזה בעיצוב סמנט בטון ""האש שלי"" רחבה בגוון אפור"
"1ftpLsrsJ32o2Hkr9c3f","","מזוזות","מזוזות פולימר","","","active","","מזוזה פולימר לבנה עם אות ש' – 20 ס""מ"
"1hBJDVyqSygWEI82KMTu","","יודאיקה","יודאיקה כללי","","","active","","קליפס לטלית ניקל עם כיתוב ""טלית"""
"1i9x5Q4tqiiapCSlCm9z","","מזוזות","מזוזות מתכת","","","active","","מזוזה מאלומיניום כסף מט עם אות ש' – 15 ס""מ"
"1xINDX82Qxv9tq5atTLW","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום אפור כהה עם אות ש' – 10 ס""מ"
"20wQOqQIYe1QB73sTZby","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום עם פסים צבועה בתלת מימד"
"26jhMT4P0dUXJFCU1WnD","","מזוזות","מזוזות מתכת","","","active","","מזוזה מאלומיניום כסף מט עם אות ש' מודפסת"
"286uDR35mmQLKUqKnrtJ","","מזוזות","מזוזות פולימר","","","active","","מזוזה פולימר בטון ברכת הבית – 15 ס""מ"
"297MGuur7ZQRA3B9BiGV","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק לבנה ""ירושלים"" עם אות ש' כסף – 12 ס""מ"
"2A17mubtHsbV2rHe0E2x","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק לבנה ""ירושלים"" עם פקק גומי – 20 ס""מ"
"2C6H5HTkcu8icoYxoncA","","מתנות","מארזים לחתן","","","active","","מארז לחתן: כיסויים פשתן חום וטלית צמר פרימיום"
"2HLsbrRImjOTT4uh2cer","","יודאיקה","יודאיקה כללי","","","active","","כיפה קטיפה האש שלי בצבע אפור בטון"
"2aDzGTDOSjqjMzEgW9h6","","מזוזות","מזוזות פולימר","","","active","","מזוזה בטון עם אות ש' להבה"
"2bzb21TUwP3I61W66Gkp","","יודאיקה","יודאיקה כללי","","","active","","קליפס לטלית ניקל עם שרשרת"
"2d7z1uHPjavk88ZpZORB","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק שקופה עם אות ש' – עיצוב כותל"
"2gPnLuf4g8L5cYXegdaw","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום שחור מט עם אות ש' מתכת וסגירה גומי"
"2gUVQujqGfI9I7N6Ux9K","","מזוזות","מזוזות פולימר","","","active","","בית מזוזה בטון שחור עם שין זהב"
"2hmFRpcXlolZ1vL1fiPm","","יודאיקה","יודאיקה כללי","","","active","","מחזיק טלית דמוי עור עם הדפס ""יברכך"""
"2tYsQsR9WX6o7TPhjnJz","","מזוזות","מזוזות פולימר","","","active","","בית מזוזה בטון לבן בעיצוב מודרני"
"2vWP75qmkZaSraj5CqB9","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום בעיצוב תלת מימד מטאלי – 12 ס""מ"
"334ZDmC99JKWWLPP7Fa7","","מזוזות","מזוזות פולימר","","","active","","מזוזה פולימר ש' שקועה בעיצוב זהב מבריק – שחור"
"3gHl4Eu8XnNo1hHNLyLw","","מזוזות","מזוזות פולימר","","","active","","מזוזה בטון לבנה עם אות ש' וזהב – 25 ס""מ"
"3iOzLVnPYI5G27gHmQy5","","מזוזות","מזוזות כותל","","","active","","מזוזה פולימר כותל בולטת זהב עם אות ש' – 25 ס""מ"
"3wRApyhdiQoenOra8xDJ","","יודאיקה","סטים ומארזים","","","active","","מארז לקידוש"
"42oBV10XwcgKc64b9YDj","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק לבן עם פס כסף ואות ש'"
"4EZ3RW1N1c6hmU8MLLs2","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום כסף מט עם אות ש' – 12 ס""מ"
"4LL7seUWARSWp0ro5kNL","","יודאיקה","יודאיקה כללי","","","active","","נילון לטלית – גודל 5 (40x35 ס""מ)"
"4YdhH3fN0OQutaG2460z","","יודאיקה","יודאיקה כללי","","","active","","מחזיק טלית דמוי עור יברכך"
"4gjGouoxzeaVigqlZqIg","","יודאיקה","שבת","","","active","","נרתיק קלאצ' שחור מפיו – עיצוב אלגנטי"
"4h8o9U4k7xP14CRYnuBa","","מזוזות","מזוזות מתכת","","","active","","מזוזה אלומיניום לבנה עם אות ש' מתכת – 7 ס""מ"
"4nTgrBaRFIzXfWcoeVCz","","מתנות","מארזי קדושה","","","active","","מארז קדושה לגבר – טלית, תפילין, סידור וכיפה בלבן"
"4stFEvWGSZIVpyifcUUu","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק שחורה 12 ס""מ עם אות ש' כסף"
"4uCQurPuuD0jVwPdbgC4","","מזוזות","מזוזות פולימר","","","active","","בית מזוזה בטון שחור עם אות ש' זהב"
"583QLNyvd887qZNOtjBu","","מזוזות","מזוזות פלסטיק","","","active","","מזוזה פלסטיק לבנה עם אות ש' כסף – 15 ס""מ"
