id,source,category,subCategory,sku,supplierCode,status,soferId,name
"01vMYSEQLWPknn5USxbF","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור שחור עם אותיות זהב"
"03OOw8HcpYUBnMiLP8qH","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור שחור עם הדפס ""ויברכך"" זהב"
"05VHc3Jp6C5sQTAwhO07","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור פשתן – עיצוב אלגנטי"
"06Pccf0KOf0pbYDLUp68","","סט טלית תפילין","סטים פיו","","","active","","סט טלית תפילין – ברכה בטון עם אותיות בולטות"
"0AjCnlEf5roHyP7YQllh","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק טלית תפילין דמוי עור אפור בהיר ""יברכך"""
"0EAvxUG0Vx9QVNEPoepx","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור עם ריקמה"
"0EMJ9JnuABlW5ydS6mB1","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין בד פשתן"
"0Eh2bRIdaZ3VcDOw0VNx","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור אפור עם כיתוב יברכך כסף"
"0IZu2XFyDuatMGHVwKct","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן עם ריקמת 'ויברכך'"
"0JPxad6EY6RagIAtLvBG","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין מפשתן"
"0LHuzNgd3DDIqxMEWr3V","","סט טלית תפילין","סטים קטיפה","","","active","","סט טלית תפילין קטיפה לבנה עם ריקמה"
"0M2f7W88FEWRCv76A111","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית קטן שחור עם ריקמת 'כתר'"
"0MzUFrwnr5zPdU5dlx1o","","סט טלית תפילין","סטים קטיפה","","","active","","סט טלית תפילין קטיפה עם ריקמה"
"0NouvrRwRMrwH7x9n6QA","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין 'אדיר' טרמי ירוק זית"
"0OtQA3ZQ8FsKrrbkumL8","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין קטיפה משי ""יברכך"""
"0Ox3kwq3whKyjd8MjJXd","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן ""ויברכך"" – אותיות זהב"
"0PPAf2SZR4YCnPFXa2j2","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין מהודר דמוי עור"
"0PzuIJ2LoSvj5gitbAj8","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור מהודר"
"0QCxLs0hscwo7p1OUpUJ","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור כסף עם כיתוב יברכך"
"0RQ0cBCuxA5z3o2snwCl","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור צבע כותל עם הבלטה"
"0SGyQ3WTTXswQQGRJGe1","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי פשתן עם כיתוב ""יברכך"""
"0WMBKDU2hZbRuBFOki6a","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור בטון עם אותיות בולטות"
"0X48nVyQgpl1AJ4xTyMf","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור יברכך"
"0ZeBDaAsqcNgR3JPkNMw","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין מפשתן – עיצוב אלגנטי"
"0cjdUV8aHNci7LmEQRoa","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור שחור עם כיתוב ""ויברכך"" בכסף"
"0g53egA4IIY6nxy5pMn4","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור אלגנטי"
"0iGZGKtFhnwr4dpEebaU","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור יברכך"
"0j01P32l3gIb3pq0Jvvk","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור בגוון פשתן"
"0mD7vxi2Op2gpvuvSRSC","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק טלית תפילין דמוי עור לבן ""יברכך"""
"0mw7xgjMQmbR8ZjwFqUr","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור שחור עם כיתוב ""וי"""
"0nx9jHTVeYlQYX86WSwv","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור כסף עם כיתוב ""יברכך"""
"0otMNpb43lOGuDGbSqoS","","סט טלית תפילין","תיקי עור מדומה","","","active","","ניילון איכותי לתפילין"
"0pUCUetF6v2B9uGgUkr2","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית ותפילין דמוי עור לבן עם הבלטה ""האש שלי"""
"0roBnkY6btMwwqVA3nN6","","סט טלית תפילין","תיקים","","","active","","תיק מפואר לטלית ותפילין עם ידית"
"0vM9w1RrmlMkmTF7jjlY","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית ותפילין דמוי עור שחור"
"0xC1Xhw7nf5s1Aq4Pt0C","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין דמוי עור ירוק זית"
"10GSwqpxwLRzeGqXF0bI","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור עם ריקמה"
"12J0bjEMiCOYT6E5Nb17","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק לטלית ותפילין דמוי עור שחור"
"13MjrWCJdmUkF6FHYNTN","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור שחור עם אותיות בולטות"
"14qPpxKfe08VzZ4mqpbW","","ספרי תורה","ספרי תורה","","","active","","ספר תורה כתב ספרדי – גודל 50"
"16rEy2RuilIVPRW0QCOO","","סט טלית תפילין","בתי תפילין","","","active","","זוג בתי תפילין מופת פלסטיק עם פלקטה כסוף"
"17fgBgefnPfXB4KDNQxt","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק לטלית מהודר אפור"
"18niDv3s6kcaTeBAMgNL","","סט טלית תפילין","סטים קטיפה","","","active","","סט טלית ותפילין קטיפה עם ריקמה"
"1ApBXr3pylzeXWF0oxFO","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק לטלית קורדרוי ודמוי עור עם אותיות בולטות"
"1E7zb1Wx7lGwXkxpyd5p","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית ותפילין דמוי עור"
"1F7vP0LIrzOIr3RBxnkE","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית דמוי עור עם ריקמה – עיצוב אלגנטי"
"1HqD0EfWxSmBE7ME7ept","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין דמוי עור טרמי שחור"
"1JJLvUqgNUI1JupGAxJT","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין דמוי עור טרמי שחור"
"1LSQggVowemShglGDgEq","","סט טלית תפילין","תיקי עור מדומה","","","active","","תיק תפילין קטיפה שחור עם ריקמה"
"1MzwVoC2hGi5KeBhxxES","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית גדול חום כהה עם כתר בולט"
"1Nbol1lcamBELlhgYNMc","","תיקי טלית ותפילין","יודאיקה כללי","","","active","","תיק טלית גדול שחור עם כתר בולט"
"1Ny2M4gStXHHSehgFYdx","","קלף תפילין","","","","active","vQv0r20jgJp2lVRN4x1u","תפילין פרשיות מהודרות כתב ספרדי"
"1XMeiN1zzZedQDTuPyZ2","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור בעיצוב כותל"
"1Yh1Dr7gQHDsqUhBEivC","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן בעיצוב כותל"
"1c1x9ltlqZp4MCXBWX8E","","סט טלית תפילין","תיקים","","","active","","תיק טלית ותפילין פיו שחור ""יברכך"" – 40×32 ס""מ"
"1gd8NhIMyYDt6SEZ5WKa","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור חום כהה עם כיתוב 'יברכך'"
"1illIq0YbsCCzce0rpNN","","סט טלית תפילין","תיקים","","","active","","תיק טלית ותפילין שחור עם ידית של רש""י ר""ת"
"1pY2cnJWhK6jKk7LzWXx","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן עם אותיות בולטות"
"1qyCMXawX7lYe4XZdQxF","","סט טלית תפילין","בתי תפילין","","","active","","זוג בתי תפילין ""מופת"" פלסטיק כסוף עם פלקטה"
"1rhvdkmxNO5ADodFvBcF","","סט טלית תפילין","תיקי עור מדומה","","","active","","תיק תפילין דמוי עור"
"1rsA7Os3xSxEVhDtrRTD","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן עם כיתוב ""ויברכך"""
"1sxeuKpiy7coBjn3rzhh","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק טלית תפילין דמוי עור שחור עם כיתוב ""יברכך"""
"1umUrIGkbAM318YbW251","","מגילות","","","","active","","מגילת אסתר"
"1wNJ0IM1tXCT6FVTaFnR","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור מהודר"
"1x6vQhDP3fuZquj48d9l","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין קטיפת משי"
"1xX1gs7CiBVVjyiQPQiP","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית ותפילין דמוי עור מהודר"
"1yMKMeBRgUzaE08Sk46B","","סט טלית תפילין","סטים בד","","","active","","סט טלית ותפילין קטיפה משי מהודר"
"20NMfeFgpv9YAVG0ZvuH","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין קטיפה משי ""יברכך"""
"22dWXGaI6q8gVh7PfaUT","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור אלגנטי"
"23IsedPxv9FbKzM3TNsO","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין בד דמוי פשתן"
"250cqLbMF1vMJIgSWVRK","","קלפי מזוזה","","","","active","QvLjxevOXXr3qYFOMczu",""
"26cKTVHnq7J8KgQzM9Hd","","סט טלית תפילין","תיקי עור מדומה","","","active","","תיק תפילין חום כהה עם אותיות בולטות"
"273kWSPNeIvN7crGdpsE","","סט טלית תפילין","בתי תפילין","","","active","","זוג בתי תפילין מופת כסוף עם פלקטה"
"27Lv75aOfQS3GpOXN5es","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור יברכך"
"287y21Ny3SxABB4wbFID","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין בד דמוי פשתן עם הדפס ""יברכך"""
"2887Ahl981uQDAZSk4CF","","סט טלית תפילין","תיקים טרמי","","","active","","תיק אחסון תפילין טרמי אפור בהיר – דגם אדיר"
"29zjoMArbVI7m1o9Mti5","","סט טלית תפילין","סטים קורדרוי","","","active","","סט טלית תפילין קורדרוי ""יברכך"""
"2CiEvgeCXRkRc80w2oMS","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק טלית תפילין דמוי עור שחור – עיצוב ""יברכך"""
"2Fy4LxrXfGjfOB2fCx8y","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין קטיפה משי – 36X29 ס""מ"
"2HbncFXN9Erj1QvrxaMz","","סט טלית תפילין","סטים קטיפה","","","active","","סט טלית תפילין קטיפה לבנה עם ריקמה – 36X29 ס""מ"
"2HfwtSS0Mv9M3Rr2YQAU","","סט טלית תפילין","תיקי עור מדומה","","","active","","תיק תפילין דמוי עור עם רצועה"
"2NRuCxzozl4kkDofiJ8X","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור בעיצוב אלגנטי"
"2RDbj6y9ZarGVFRHOAJx","","קלפי מזוזה","","","","active","","מזוזה גודל 15"
"2Szo230Dys7pChZWacUi","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור כסף עם כיתוב ""יברכך"""
"2T97GXR4DnuLyUF4Fo05","","סט טלית תפילין","בתי תפילין","","","active","","זוג בתי תפילין ""מופת"" כסוף פלסטיק עם פלקטה"
"2TIroDYJLhTqfU0YeRVE","","סט טלית תפילין","תיקים","","","active","","תיק הגשה לטלית תפילין עם ידית"
"2VQVnjCIW1OdPc34Zfcy","","סט טלית תפילין","סטים ארוג","","","active","","סט טלית תפילין ארוג אפור בהיר עם רקמה"
"2Vzm8Bij4xIZTPhgrQ0q","","סט טלית תפילין","סטים בד","","","active","","סט טלית תפילין מפשתן אלגנטי"
"2X9XmDSNlTGzoQqvIr1q","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור בטון עם אותיות בולטות"
"2XyHsFzVxRPG4Uo4vBYf","","סט טלית תפילין","סטים רקמה","","","active","","סט טלית תפילין עם רקמה בולטת"
"2a4uwKcxfV09O99i8RVA","","סט טלית תפילין","סטים עור מדומה","","","active","","תיק טלית תפילין מהודר דמוי עור"
"2bAmQ6riNCe935zBDdXx","","סט טלית תפילין","סטים עור מדומה","","","active","","סט טלית תפילין דמוי עור לבן – עיצוב ""ויברכך"" זהב"
"2emRqZskk512k7EHHCZe","","סט טלית תפילין","סטים קטיפה","","","active","","סט טלית תפילין ועטרה קטיפה ""יברכך"" בעיצוב אלגנטי"
"2esRcn3uLtsoURdfdg7E","","קלפי מזוזה","","","","active","dogupVNRjdFIFFK3ZxzC","מזוזה ספרדי 15 ס”מ יפהפיה"
"2hvikfImjGxeOWE6EKpX","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין דמוי עור כחול כהה"
"2ivRvliQkKiDiqnFT4QX","","סט טלית תפילין","תיקים טרמי","","","active","","תיק תפילין דמוי עור"
