subCategory,מספר מוצרים (עם מחיר),סך הוצאה,סך הכנסה,תזרים נטו,עלות מלאי שנשאר,גודל אריזה נפוץ
פמוטים,53,7812.92,9143.94,1331.02,3240.95,2
נטילת ידיים ומים אחרונים,50,5732.71,5403.00,-329.71,3031.21,2
פסח,29,5229.11,6011.42,782.31,2223.40,2
חנוכה,28,5120.49,7240.44,2119.95,1500.27,1
מחזיקי מפתחות,42,4952.32,927.18,-4025.14,4488.73,12
ברכות,37,4939.17,5119.26,180.09,2379.54,2
תיקי טלית,23,4779.55,4879.54,99.99,2339.78,2
כיפות קטיפה,42,3792.37,1237.16,-2555.21,3173.79,6
כיפות מיוחדות,54,3661.80,921.92,-2739.88,3200.84,6
כיסויי חלה,28,3419.30,3235.44,-183.86,1801.58,2
הבדלה,20,3099.20,1731.60,-1367.60,2233.40,2
ברכונים,19,2952.47,2835.62,-116.85,1534.66,2
גביעי קידוש קריסטל וקרמיקה,25,2831.42,2625.50,-205.92,1518.67,2
"קרשי חלה, סכינים ומפיונים",17,2617.58,2491.66,-125.92,1371.75,2
כיפות סרוגות DMC,10,2255.22,533.80,-1721.42,1988.32,6
מוצרי בית כנסת וסטנדרים,14,2141.74,2591.72,449.98,845.88,2
קופות צדקה,13,1912.71,946.74,-965.97,1439.34,2
צמידים טבעות ועגילים,3,1741.02,177.94,-1563.08,1652.05,2
פורים,10,1689.75,2659.80,970.05,359.85,1
"מצתים, מלחיות ומתקנים לגפרורים",19,1588.15,1295.62,-292.53,940.34,2
ראש השנה,16,1414.59,1703.68,289.09,562.75,2
מחלקי יין ואביזרים,7,1270.54,1559.86,289.32,490.61,1
תכשיטי כסף טהור,8,1269.77,1281.84,12.07,628.85,2
סוכות,7,1259.82,979.86,-279.96,769.89,2
חמסות וסגולות,12,1226.89,740.38,-486.51,856.70,2
כריות לברית,4,1099.92,1099.92,0.00,549.96,2
סטים טלית ותפילין,11,1049.78,1049.78,0.00,524.89,2
כיפות סרוגות,13,1042.08,138.74,-903.34,972.71,12
דמויות חסידים,14,889.71,939.72,50.01,419.85,2
סידורים ותהילים,8,849.84,849.84,0.00,424.92,2
כיפות סאטן וטרילין,10,799.86,192.80,-607.06,703.46,6
מחזיקי טלית עטרות וניילונים,12,789.44,544.76,-244.68,517.06,2
סיכות לכיפה,3,709.16,17.94,-691.22,700.19,36
גביעי קידוש מתכת,5,669.90,669.90,0.00,334.95,2
חתן וכלה,6,653.83,567.88,-85.95,369.89,2
ילדים,6,627.74,421.88,-205.86,416.80,2
בתי תפילין ומראות,4,620.67,185.92,-434.75,527.71,5
כיפות פריק,11,551.34,183.78,-367.56,459.45,6
כיפות סרוגות עם רקמה,6,503.28,83.88,-419.40,461.34,12
קיטלים,3,479.94,479.94,0.00,239.97,2
כיסויי פלטה,4,469.92,469.92,0.00,234.96,2
מפות שולחן ורנרים,5,444.87,405.90,-38.97,241.92,2
גביעי קידוש פולימר,3,419.94,419.94,0.00,209.97,2
טליתות,3,359.97,719.94,359.97,0.00,1
נירוסטה ורודיום,3,289.75,71.94,-217.81,253.78,10
מנורות,3,265.86,410.94,145.08,60.39,1
כיפות עור,5,233.70,77.90,-155.80,194.75,6
עטים,3,161.94,161.94,0.00,80.97,2
מגנטים,3,47.64,7.94,-39.70,43.67,12
מזוזות זכוכית,0,0.00,0.00,0.00,0.00,5
מזוזות אלומיניום,0,0.00,0.00,0.00,0.00,10
מזוזות פולירזין,0,0.00,0.00,0.00,0.00,5
מזוזות לרכב,0,0.00,0.00,0.00,0.00,5
מזוזות מתכת,0,0.00,0.00,0.00,0.00,5
מזוזות עץ,0,0.00,0.00,0.00,0.00,10
מזוזות פלסטיק,0,0.00,0.00,0.00,0.00,25
אביזרי תצוגה,0,0.00,0.00,0.00,0.00,6
תיק-תפ,0,0.00,0.00,0.00,0.00,2
