sku,name,subCategory,unitPrice,packSize,packageCost,sellPrice,unitsLeft,leftoverInventoryCost,cashFlow
UK51675,סט כרית לטבעת עם תפילה לכלה פרספקס,חתן וכלה,89.99,2,179.98,179.98,1,89.99,0
UK89928,"כוס חתן ""אם אשכחך ירושלים"" באריזה מהודרת 10 ס""מ",חתן וכלה,11.99,5,59.95,23.98,4,47.96,-35.97
UK82327,"תפילה לכלה ""לב"" אקריליק 24 ס""מ",חתן וכלה,36.99,2,73.98,73.98,1,36.99,0
UK66466,"סט הפרשת חלה דמוי עור לבן ""אותיות בולטות"" 40 ס""מ",חתן וכלה,69.99,2,139.98,139.98,1,69.99,0
UK48864,"ברכון אקריליק ""תפילה לכלה"" עם פלקטה כתר 21X16 ס""מ",חתן וכלה,24.99,4,99.96,49.98,3,74.97,-49.98
UK67379,"סט הפרשת חלה דמוי עור 40 ס""מ",חתן וכלה,49.99,2,99.98,99.98,1,49.99,0
UK81983,"מסגרת זכוכית מהודרת ברכת העסק 20X25 ס""מ",ברכות,21.99,4,87.96,43.98,3,65.97,-43.98
UK83195,אשת חיל אקריליק מסגרת זהב,ברכות,39.99,2,79.98,79.98,1,39.99,0
UK80195,"ברכת הבית בלוק אקריליק רקע כחול 21X21X2.5 ס""מ",ברכות,79.99,2,159.98,159.98,1,79.99,0
UK40787,"מסגרת זכוכית עם פלקטה חיתוך לייזר ""אשת חיל"" 28X23 ס""מ",ברכות,59.99,2,119.98,119.98,1,59.99,0
UK82864,"מסגרת זכוכית מהודרת אשר יצר נוסח ספרדי 20X25 ס""מ",ברכות,21.99,4,87.96,43.98,3,65.97,-43.98
UK83243,אשר יצר עדות מזרח מלבן אקריליק מסגרת זהב,ברכות,49.99,2,99.98,99.98,1,49.99,0
UK82852,"הדלקת נרות בלוק אקריליק ""ירושלים"" 21 ס""מ",ברכות,89.99,2,179.98,179.98,1,89.99,0
UK83549,"מזמור לתודה מלבן אקריליק מסגרת זהב ענק 90X59 ס""מ",ברכות,449.99,1,449.99,899.98,0,0,449.99
UK82853,"מזמור לתודה בלוק אקריליק ""ירושלים"" 21 ס""מ",ברכות,89.99,2,179.98,179.98,1,89.99,0
UK80746,עץ קריסטל ברכה והצלחה 11סמ,ברכות,39.99,2,79.98,79.98,1,39.99,0
UK80507,הדלקת נרות בלוק אקריליק מסגרת זהב,ברכות,79.99,2,159.98,159.98,1,79.99,0
UK80788,"מסגרת אקריליק מהודרת עם פלקטה 23x24 ס""מ",ברכות,79.99,2,159.98,159.98,1,79.99,0
UK81729,"מסגרת ממוסגרת לתלייה עם פלקטה זהב 42x43 ס""מ- ברכת הבית",ברכות,59.99,2,119.98,119.98,1,59.99,0
