sku,name,price,supplierPrice,variants,images,desc,url
SIM-99400,"ברכון כיס – דגם פסטל",5,2.2,"נוסח: אשכנזי/עדות המזרח - כמנהג הספרדים | צבע: ורוד בהיר/מנטה/שמנת",3,"ברכון מהודר |  | מתקפל לשלוש (גודל כיס) |  | מודפס בצבע מלא על נייר כרומו מהודר |  | עם למינציה |  | כולל שבע ברכות |  | לא כולל על הניסים!",https://simchonim.co.il/products-catalog/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%97%d7%aa%d7%95%d7%a0%d7%94/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%9b%d7%99%d7%a1-%d7%93%d7%92%d7%9d-%d7%a9%d7%9e%d7%97%d7%94/
SIM-99660,"זמירות שבת דגם ירושלים",6.6,6.6,"נוסח: אשכנזי/עדות המזרח - כמנהג הספרדים",3,"זמירות שבת מהודר |  | כריכה עם הטבעות והשבחות",https://simchonim.co.il/products-catalog/shabbat/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa-%d7%93%d7%92%d7%9d-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d/
SIM-99683,"זמירות 12X17 בהטבעה אישית",8.2,8.2,"נוסח: אשכנזי/עדות המזרח - כמנהג הספרדים | צבע: שחור זהב/שחור כסף/שמנת",3,"זמירות שבת מהודרים |  | בתוספת כריכה חלקה עבור ההטבעה האישית שלך. |  | ייחודי ויוקרתי. לאנשים עם טעם טוב.",https://simchonim.co.il/products-catalog/%d7%97%d7%93%d7%a9-%d7%91%d7%a9%d7%9e%d7%97%d7%95%d7%a0%d7%99%d7%9d/%d7%9b%d7%9c-%d7%94%d7%9e%d7%95%d7%a6%d7%a8%d7%99%d7%9d-%d7%97%d7%93%d7%a9%d7%99%d7%9d/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-12x17-%d7%91%d7%94%d7%98%d7%91%d7%a2%d7%94-%d7%90%d7%99%d7%a9%d7%99%d7%aa/
SIM-997781,"זמירות שבת דגם סילבר",8,8,"צבע: זהב/כסוף | נוסח: אשכנזי/עדות המזרח - כמנהג הספרדים",3,"זמירות שבת בכריכה רכה משובחת |  | עם הטבעות והבלטות מרשימות",https://simchonim.co.il/products-catalog/shabbat/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa-%d7%93%d7%92%d7%9d-%d7%a1%d7%99%d7%9c%d7%91%d7%a8/
SIM-99197,"זמירות דגם מדליה",8.8,8.8,"נוסח: אשכנזי/האר"י - חב"ד/משולב אשכנזי + ע"מ/עדות המזרח - כמנהג הספרדים {'משולב אשכנזי + ע\'מ':3.2} | צבע: שחור/שמנת",3,"זמירות שבת מהודרים |  | בעיצוב חדשני ומיוחד, מודפס בצבע מלא.",https://simchonim.co.il/products-catalog/shabbat/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%93%d7%92%d7%9d-%d7%9e%d7%93%d7%9c%d7%99%d7%94-%d7%a7%d7%a8%d7%9d/
SIM-99354,"זמירות דגם מעין עולם הבא",7.9,7.9,"נוסח: אשכנזי/האר"י - חב"ד/משולב אשכנזי + ע"מ/עדות המזרח - כמנהג הספרדים {'משולב אשכנזי + ע\'מ':2} | צבע: ורוד בהיר/שחור/שמנת",3,"סדר זמירות שבת במבחר נוסחים |  | בעיצוב חדשני ומיוחד, מודפס בצבע מלא. |  | כריכה מהודרת בתוספת השבחות דפוס מרשימות במיוחד וייחודיות",https://simchonim.co.il/products-catalog/shabbat/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%91%d7%aa/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%93%d7%92%d7%9d-%d7%9e%d7%a2%d7%99%d7%9f-%d7%a2%d7%95%d7%9c%d7%9d-%d7%94%d7%91%d7%90/
SIM-99254,"זמירות דגם נצנצים",7.9,7.9,"נוסח: אשכנזי/האר"י - חב"ד/משולב אשכנזי + ע"מ/עדות המזרח - כמנהג הספרדים {'משולב אשכנזי + ע\'מ':2} | צבע: ורוד בהיר/לבן-זהב/תכלת",3,"סדר זמירות שבת במבחר נוסחים |  | בעיצוב חדשני ומיוחד, מודפס בצבע מלא. |  | כריכה מהודרת בתוספת השבחות דפוס מרשימות במיוחד וייחודיות",https://simchonim.co.il/products-catalog/%d7%97%d7%93%d7%a9-%d7%91%d7%a9%d7%9e%d7%97%d7%95%d7%a0%d7%99%d7%9d/%d7%9b%d7%9c-%d7%94%d7%9e%d7%95%d7%a6%d7%a8%d7%99%d7%9d-%d7%97%d7%93%d7%a9%d7%99%d7%9d/%d7%96%d7%9e%d7%99%d7%a8%d7%95%d7%aa-%d7%93%d7%92%d7%9d-%d7%a0%d7%a6%d7%a0%d7%a6%d7%99%d7%9d/
SIM-99507,"ברכון כיס מק""ט 507",5,2.4,"נוסח: אשכנזי/עדות המזרח - כמנהג הספרדים",1,"ברכון מהודר מתקפל לשלוש (גודל כיס) |  | מודפס בצבע מלא על נייר כרומו מהודר |  | עם למינציה |  | כולל שבע ברכות |  | לא כולל על הניסים!",https://simchonim.co.il/products-catalog/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%97%d7%aa%d7%95%d7%a0%d7%94/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%9e%d7%a7%d7%98-507/
SIM-99410,"ברכון כיס לבר מצווה מק""ט 410",5,2.4,"נוסח: אשכנזי/האר"י - חב"ד/עדות המזרח - כמנהג הספרדים",2,"ברכון מהודר לבר מצוה מתקפל לשלוש (גודל כיס) |  | מודפס בצבע מלא על נייר כרומו מהודר |  | עם למינציה |  | כולל ברכת מעין שלוש |  | לא כולל על הניסים!",https://simchonim.co.il/products-catalog/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%91%d7%a8-%d7%9e%d7%a6%d7%95%d7%94/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%9e%d7%a7%d7%98-410/
SIM-99504,"ברכון כיס מק""ט 504",5,2.4,"נוסח: אשכנזי/משולב אשכנזי + ע"מ/עדות המזרח - כמנהג הספרדים {'משולב אשכנזי + ע\'מ':0.6}",1,"ברכון מהודר נוסח משולב |  | מתקפל לחמש (גודל כיס) |  | מודפס בצבע מלא על נייר כרומו מהודר |  | עם למינציה |  | כולל שבע ברכות |  | לא כולל על הניסים!",https://simchonim.co.il/products-catalog/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/%d7%9e%d7%96%d7%9b%d7%a8%d7%95%d7%aa-%d7%9c%d7%97%d7%aa%d7%95%d7%a0%d7%94/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%9e%d7%a7%d7%98-504/
